bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,bus10,bus11,bus12,bus13,bus14,bus15,bus16,bus17,bus18,bus19,bus20,bus21,bus22,bus23,bus24,bus25,bus26,bus27,bus28,bus29,bus30,bus31,bus32,bus33
0,0.01232,0.07846,0.1303,0.18721,0.31762,0.33585,0.40902,0.52219,0.62826,0.64338,0.66647,0.76867,0.80848,0.84026,0.86363,0.9016,0.90376,0.013585,0.027475,0.030883,0.034163,0.08178,0.088583,0.090004,0.333,0.3516,0.4215,0.47816,0.5081,0.56058,0.57369,0.58215
0,0.013177,0.082837,0.13716,0.19843,0.34428,0.38138,0.46134,0.58107,0.69801,0.71581,0.74457,0.87104,0.91922,0.95668,0.98783,1.0295,1.0391,0.013861,0.020424,0.022328,0.022122,0.08479,0.084428,0.086525,0.35647,0.37191,0.42267,0.45942,0.47912,0.51264,0.52342,0.53029
0,0.014635,0.088976,0.14328,0.20086,0.33951,0.36943,0.42843,0.5245,0.61313,0.62413,0.64334,0.72331,0.75801,0.78262,0.80652,0.84708,0.85611,0.015697,0.024721,0.02366,0.021256,0.093851,0.099783,0.10259,0.35601,0.37758,0.46207,0.52107,0.54868,0.59392,0.60598,0.61531
0,-0.0024745,-0.022582,-0.042444,-0.06664,-0.18152,-0.24871,-0.29383,-0.39959,-0.51341,-0.52793,-0.55393,-0.67816,-0.7324,-0.77214,-0.81075,-0.87927,-0.89511,-0.0016356,0.0085296,0.0081129,0.008771,-0.023296,-0.02675,-0.030321,-0.18587,-0.19,-0.22285,-0.23638,-0.23795,-0.24921,-0.25233,-0.25445
0,0.010877,0.065959,0.10733,0.15322,0.25986,0.28389,0.34236,0.42742,0.50409,0.51426,0.53165,0.59681,0.62632,0.64622,0.66663,0.70681,0.71296,0.012802,0.026416,0.029782,0.032843,0.070253,0.073922,0.079507,0.26957,0.28306,0.32143,0.3507,0.3681,0.39063,0.39444,0.39889
0,0.011466,0.075722,0.12539,0.18035,0.3154,0.35304,0.42827,0.53803,0.63784,0.65049,0.67016,0.75426,0.78686,0.81145,0.83471,0.87225,0.88021,0.010281,0.0019836,-0.0016535,-0.0066346,0.076913,0.075792,0.072697,0.32921,0.34771,0.41183,0.45604,0.47917,0.51513,0.52322,0.5255
0,0.014024,0.086508,0.13772,0.19519,0.3325,0.3691,0.44602,0.56679,0.67408,0.68745,0.70886,0.80193,0.83881,0.86415,0.886,0.92362,0.93217,0.014602,0.018314,0.019681,0.020862,0.093119,0.099747,0.10015,0.34486,0.36017,0.41871,0.45398,0.47244,0.50073,0.5097,0.51622
0,0.013179,0.084355,0.13682,0.19382,0.33461,0.37092,0.44406,0.56226,0.67411,0.68878,0.71148,0.81491,0.86208,0.89441,0.92055,0.96371,0.96961,0.013299,0.015711,0.01448,0.012176,0.088049,0.094826,0.10069,0.34777,0.36377,0.42178,0.46096,0.47796,0.50921,0.51577,0.52164
0,0.011245,0.072415,0.1172,0.16627,0.27771,0.30591,0.38153,0.49578,0.60534,0.6208,0.64482,0.74733,0.78204,0.80687,0.83117,0.86166,0.86903,0.01046,0.0068945,0.0054629,0.0063299,0.076838,0.086014,0.091599,0.28705,0.29866,0.33402,0.3596,0.37396,0.39573,0.39758,0.39937
0,0.014026,0.09115,0.14877,0.21583,0.37909,0.41029,0.51401,0.67444,0.84172,0.86614,0.90616,1.0891,1.1657,1.2185,1.2677,1.3499,1.3681,0.015222,0.03253,0.03519,0.037095,0.097897,0.10617,0.11329,0.39812,0.42414,0.51683,0.5803,0.61282,0.67111,0.68778,0.69794
