bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,bus10,bus11,bus12,bus13,bus14,bus15,bus16,bus17,bus18,bus19,bus20,bus21,bus22,bus23,bus24,bus25,bus26,bus27,bus28,bus29,bus30,bus31,bus32,bus33
74,974,150,985,123,330,655,872,964,668,921,467,271,500,648,619,492,5,538,413,83,214,159,32,512,581,429,659,522,100,711,990,641
183,168,212,588,731,261,385,264,88,65,831,331,681,327,712,632,877,660,834,196,45,382,174,929,334,567,85,574,183,439,538,603,968
666,8,159,215,166,149,302,563,699,339,217,794,121,179,201,614,436,695,552,174,720,724,549,625,533,311,853,943,775,613,975,574,729
323,225,29,71,985,546,309,855,394,704,464,960,706,494,134,569,472,855,369,42,741,300,431,923,675,805,664,982,731,110,290,328,215
699,430,916,753,113,947,567,431,780,389,273,905,145,0,69,478,350,158,208,69,44,91,96,863,249,296,217,145,279,476,678,957,218
350,955,84,503,952,152,984,439,116,970,606,468,879,233,30,272,577,394,553,681,886,972,117,960,868,644,808,422,786,888,334,949,667
96,171,593,741,383,819,714,779,516,869,319,316,681,611,222,689,254,612,670,977,618,510,116,310,356,428,936,135,346,275,578,597,421
851,11,820,898,812,567,800,524,160,917,540,737,25,607,613,582,966,376,692,53,738,807,816,804,510,516,77,977,182,248,280,896,319
93,226,226,222,615,562,530,562,204,428,739,68,914,145,423,834,555,432,614,611,927,451,346,438,258,872,202,407,855,421,238,308,194
353,975,182,377,219,688,269,194,497,545,776,195,577,730,424,696,592,938,754,149,183,273,402,720,16,791,268,964,875,962,162,924,378
