bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,bus10,bus11,bus12,bus13,bus14,bus15,bus16,bus17,bus18,bus19,bus20,bus21,bus22,bus23,bus24,bus25,bus26,bus27,bus28,bus29,bus30,bus31,bus32,bus33
1,0.98565,0.92232,0.88142,0.84487,0.73776,0.69009,0.67575,0.64335,0.62663,0.62791,0.63164,0.63439,0.62937,0.63262,0.63781,0.64606,0.64814,0.98214,0.95913,0.954,0.94788,0.91803,0.90984,0.90466,0.73186,0.72494,0.68757,0.66789,0.66518,0.6452,0.64004,0.63698
1,0.98657,0.92668,0.89099,0.85859,0.76581,0.71831,0.71635,0.69359,0.67883,0.68025,0.68384,0.67567,0.66632,0.66275,0.65951,0.64042,0.63911,0.98313,0.96713,0.96259,0.95825,0.91992,0.90884,0.90483,0.76016,0.75363,0.71526,0.69258,0.68442,0.6614,0.65521,0.64949
1,0.98698,0.93348,0.90414,0.87756,0.79441,0.76189,0.7658,0.76047,0.76746,0.77138,0.77877,0.79555,0.7965,0.80043,0.80618,0.80962,0.81179,0.98173,0.94626,0.93847,0.93225,0.92455,0.91156,0.90562,0.78751,0.77863,0.73481,0.71249,0.70856,0.69079,0.68766,0.68472
1,0.98338,0.90397,0.85345,0.80197,0.70437,0.70218,0.65911,0.61641,0.5867,0.58015,0.56915,0.54797,0.54628,0.54075,0.53837,0.54324,0.54466,0.97964,0.95172,0.94564,0.94106,0.89471,0.88031,0.87588,0.69467,0.68269,0.64403,0.61928,0.61154,0.59555,0.59198,0.59087
1,0.98863,0.93598,0.906,0.87884,0.79549,0.75941,0.7579,0.74174,0.73733,0.73946,0.74376,0.75318,0.75345,0.75552,0.75931,0.76469,0.76748,0.98615,0.97187,0.9677,0.96321,0.92901,0.91711,0.91205,0.79003,0.78325,0.74725,0.72236,0.7135,0.69041,0.68512,0.68322
1,0.98386,0.91741,0.87788,0.84099,0.73839,0.69413,0.69718,0.68525,0.67826,0.68114,0.68653,0.69385,0.69662,0.70388,0.71156,0.71231,0.71588,0.97858,0.93954,0.9314,0.9247,0.90867,0.89245,0.88605,0.72929,0.71834,0.66819,0.63561,0.62542,0.60316,0.59616,0.59197
1,0.98575,0.92813,0.89465,0.8647,0.7752,0.72964,0.7314,0.72197,0.72327,0.72778,0.73453,0.74044,0.73958,0.74497,0.74933,0.75642,0.75849,0.97967,0.93949,0.93107,0.92336,0.92221,0.91319,0.90989,0.77045,0.76477,0.73988,0.72321,0.71918,0.70304,0.6994,0.69698
1,0.98557,0.9228,0.88971,0.86102,0.77764,0.73444,0.73818,0.7305,0.73202,0.73779,0.7471,0.77431,0.77824,0.78869,0.8008,0.80779,0.81308,0.98086,0.9506,0.94224,0.93479,0.9124,0.89726,0.89,0.77331,0.76842,0.73651,0.72271,0.71874,0.70386,0.69909,0.69725
1,0.98699,0.93245,0.89941,0.86792,0.77795,0.73297,0.72894,0.7075,0.69506,0.69697,0.70065,0.68962,0.68154,0.67577,0.67212,0.66346,0.66399,0.98246,0.95012,0.94294,0.93613,0.92625,0.91545,0.91048,0.77232,0.76664,0.73629,0.71783,0.7147,0.70558,0.70339,0.70201
1,0.98269,0.90492,0.85682,0.81126,0.68172,0.62713,0.61568,0.57776,0.56,0.56296,0.57039,0.5765,0.57532,0.58485,0.60225,0.61547,0.61848,0.97904,0.95523,0.94995,0.94466,0.89748,0.88707,0.88375,0.67375,0.66503,0.61541,0.5899,0.58586,0.57563,0.57181,0.57025
